Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Kado atau hadiah
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
Alat Olahraga,"Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Mainan/Collectible item,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Website Gramedia.com, Toko alat tulis lainnya, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com, Toko buku independen lainnya",Kado atau hadiah
Komik/Novel Grafis,"Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Kado atau hadiah, Menambah pengetahuan"
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Toko Gramedia, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
