ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,Cluster
1,Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Anak,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Anak,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Non-Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Buku Non-Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
1,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,1
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,0
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,1
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,1
2,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,0
2,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,0
2,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,1
2,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Seni,Alat Seni,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Seni,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
3,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Seni,edukasi,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Lifestyle,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
4,Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
5,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Netral,Netral,Setuju,Netral,1
5,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Netral,Netral,Setuju,Netral,1
5,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Netral,Netral,Setuju,Netral,0
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Literasi,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Literasi,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Literasi,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Novel Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,2
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Literasi,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Literasi,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Literasi,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,0
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,Daily needs,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,3
6,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,edukasi,Sangat Setuju,Setuju,Setuju,Setuju,3
7,Komik,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Kado atau hadiah,Literasi,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Menambah pengetahuan,Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Netral,0
7,Komik,Toko Gramedia,Menambah pengetahuan,Literasi,edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral,0
8,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Lifestyle,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
8,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
8,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Seni,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
8,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Seni,Self Wear,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,1
8,Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
8,Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,1
8,Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,1
