ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
1,Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Anak,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Anak,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Non-Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Buku Non-Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
1,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
2,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
