ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
1,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
2,Komik/Novel Grafis,Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain game (offline/online),Mainan,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
3,Alat Olahraga,Toko buku independen lainnya,Kado atau hadiah,Bermain game (offline/online),Kesehatan dan Kecantikan,Setuju,Setuju,Netral,Setuju
4,Mainan/Collectible item,Aplikasi Gramedia.com,Kado atau hadiah,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
5,Jurnal/Perencana (Planner),Website Gramedia.com,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
6,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Travelling,Alat Olahraga,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
7,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Setuju,Netral,Setuju
8,Jurnal/Perencana (Planner),Toko Gramedia,Untuk mengekspresikan kreativitas,Travelling,Alat Olahraga,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
9,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Mainan,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
10,Mainan/Collectible item,Toko Gramedia,Kado atau hadiah,Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
11,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Menambah pengetahuan,Melukis atau menggambar,Alat Olahraga,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
12,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
13,Alat Musik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
14,Komik/Novel Grafis,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Olahraga,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
15,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi,Bermain musik,Mainan,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
16,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
17,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
18,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Mainan,Setuju,Setuju,Tidak Setuju,Setuju
19,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Menambah pengetahuan,Bermain game (offline/online),Alat Olahraga,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
20,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Netral,Tidak Setuju
21,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Melukis atau menggambar,Alat Musik & kesenian,Sangat Setuju,Netral,Setuju,Setuju
22,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain game (offline/online),Alat Musik & kesenian,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
23,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,Alat Olahraga,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
24,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Menambah pengetahuan,Travelling,Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Setuju,Netral
25,Alat Musik,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
26,Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Menambah pengetahuan,Menghadiri acara budaya atau edukasi,Mainan,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
27,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Olahraga,Setuju,Sangat Tidak Setuju,Netral,Setuju
28,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Kesehatan dan Kecantikan,Netral,Tidak Setuju,Tidak Setuju,Setuju
29,Alat Olahraga,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
30,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
31,Alat Olahraga,Toko alat tulis lainnya,Kado atau hadiah,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Netral,Netral,Setuju,Sangat Setuju
32,Alat Musik,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain musik,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Netral,Sangat Setuju
33,Alat Olahraga,Toko Gramedia,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Netral,Sangat Setuju
34,Perlengkapan Seni/Kreatif,Website Gramedia.com,Hiburan atau relaksasi,Bermain game (offline/online),Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
35,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Setuju,Setuju
36,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Belanja online/offline,Alat Musik & kesenian,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju
37,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Mainan,Setuju,Netral,Setuju,Tidak Setuju
38,Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Olahraga,Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju
39,Mainan/Collectible item,Aplikasi Gramedia.com,Kado atau hadiah,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
40,Buku Anak,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,Alat Olahraga,Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral
41,Komik/Novel Grafis,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)",Alat Olahraga,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
42,Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Alat Olahraga,Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
43,Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Setuju,Netral,Sangat Setuju
44,Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
45,Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Setuju,Netral
46,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
47,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Alat Musik & kesenian,Setuju,Setuju,Sangat Setuju,Setuju
48,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
49,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Netral,Setuju,Sangat Setuju,Setuju
50,Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Hiburan atau relaksasi,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Netral,Setuju
51,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Setuju,Tidak Setuju,Netral,Tidak Setuju
52,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Musik & kesenian,Setuju,Sangat Setuju,Tidak Setuju,Netral
