ID,Produk sering beli,Hobi,Minat
1,Buku Anak; Buku Non-Fiksi; Novel Fiksi,Aktivitas Rekreasional,Daily needs
2,Komik,Aktivitas Rekreasional,Self Wear
3,Sport & mainanan,Aktivitas Rekreasional; Literasi; Seni,Self Wear
4,Sport & mainanan,Aktivitas Rekreasional,edukasi
5,Alat Kantor/Sekolah,Literasi,edukasi
6,Novel Fiksi; Sport & mainanan,Aktivitas Rekreasional,Daily needs; Self Wear
7,Komik,Lifestyle,edukasi
8,Alat Kantor/Sekolah,Lifestyle,Self Wear
9,Alat Kantor/Sekolah; Komik; Novel Fiksi,Aktivitas Rekreasional,Self Wear
10,Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aktivitas Rekreasional; Lifestyle; Literasi,edukasi
11,Alat Kantor/Sekolah,Aktivitas Rekreasional; Seni,Self Wear
12,Buku Anak; Edukasi; Novel Fiksi,Aktivitas Rekreasional; Literasi,Self Wear
13,Alat Seni,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi
14,Komik,Literasi,Self Wear
15,Buku Non-Fiksi; Sport & mainanan,Seni,Alat Seni; Daily needs; Self Wear
16,Alat Seni; Buku Non-Fiksi,Lifestyle; Literasi,Alat Seni
17,Alat Kantor/Sekolah; Buku Anak,Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi
18,Sport & mainanan,Aktivitas Rekreasional,Self Wear; edukasi
19,Alat Kantor/Sekolah; Buku Non-Fiksi,Aktivitas Rekreasional; Literasi,Self Wear
20,Alat Kantor/Sekolah; Buku Non-Fiksi,Aktivitas Rekreasional,Daily needs; edukasi
21,Alat Kantor/Sekolah; Sport & mainanan,Seni,Alat Seni
22,Alat Kantor/Sekolah; Komik,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs; Self Wear
23,Buku Non-Fiksi; Komik; Novel Fiksi,Aktivitas Rekreasional,edukasi
24,Buku Non-Fiksi; Komik,Lifestyle; Seni,Alat Seni; edukasi
25,Alat Seni,Lifestyle; Literasi,Alat Seni; Self Wear
26,Alat Kantor/Sekolah; Sport & mainanan,Aktivitas Rekreasional; Literasi; Seni,Self Wear
27,Alat Seni; Edukasi,Aktivitas Rekreasional; Literasi,Self Wear
28,Komik; Sport & mainanan,Aktivitas Rekreasional; Literasi,Alat Seni; Self Wear; edukasi
29,Sport & mainanan,Literasi; Seni,Daily needs
30,Alat Kantor/Sekolah; Buku Non-Fiksi; Edukasi,Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; Self Wear
