ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,Cluster
1,Buku Non-Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,0
2,Komik,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
3,Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Setuju,Setuju,Netral,Setuju,1
4,Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,0
5,Alat Kantor/Sekolah,Website Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,edukasi,Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,0
6,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
7,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Lifestyle,edukasi,Tidak Setuju,Sangat Setuju,Netral,Setuju,0
8,Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,0
9,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,2
10,Sport & mainanan,Toko Gramedia,Kado atau hadiah,Literasi,edukasi,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,0
11,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Seni,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,3
12,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
13,Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,0
14,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,0
15,Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,3
16,Buku Non-Fiksi,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Alat Seni,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,1
17,Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
18,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Setuju,Tidak Setuju,Setuju,1
19,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,0
20,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju,2
21,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Seni,Alat Seni,Sangat Setuju,Netral,Setuju,Setuju,1
22,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
23,Buku Non-Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,3
24,Buku Non-Fiksi,Toko alat tulis lainnya,Menambah pengetahuan,Lifestyle,Alat Seni,Sangat Setuju,Tidak Setuju,Setuju,Netral,2
25,Alat Seni,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,1
26,Alat Kantor/Sekolah,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,3
27,Edukasi,Website Gramedia.com,Menambah pengetahuan,Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Netral,Setuju,2
28,Komik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Setuju,0
29,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Literasi,Daily needs,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju,0
30,Buku Non-Fiksi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju,1
31,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Literasi,Daily needs,Netral,Netral,Setuju,Sangat Setuju,3
32,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,Self Wear,Tidak Setuju,Setuju,Netral,Sangat Setuju,1
33,Sport & mainanan,Toko Gramedia,Kado atau hadiah,Literasi,edukasi,Sangat Setuju,Tidak Setuju,Netral,Sangat Setuju,0
34,Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju,2
35,Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Setuju,Setuju,0
36,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Alat Seni,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju,4
37,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Netral,Setuju,Tidak Setuju,2
38,Alat Seni,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju,0
39,Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,4
40,Buku Anak,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral,1
41,Komik,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,Self Wear,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,3
42,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,2
43,Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,edukasi,Sangat Setuju,Setuju,Netral,Sangat Setuju,1
44,Alat Seni,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,4
45,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Literasi,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral,3
46,Buku Non-Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,3
47,Edukasi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Setuju,Sangat Setuju,Setuju,1
48,Edukasi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
49,Buku Non-Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Netral,Setuju,Sangat Setuju,Setuju,1
50,Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Tidak Setuju,Tidak Setuju,Netral,Setuju,0
51,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Literasi,Alat Seni,Setuju,Tidak Setuju,Netral,Tidak Setuju,0
52,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,Alat Seni,Setuju,Sangat Setuju,Tidak Setuju,Netral,0
53,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,4
54,Edukasi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,2
55,Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,0
56,Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Lifestyle,Self Wear,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju,1
57,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral,0
58,Alat Kantor/Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
59,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Netral,4
60,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Setuju,Netral,Tidak Setuju,Netral,3
61,Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Netral,2
62,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,3
63,Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral,1
64,Komik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Netral,Setuju,Sangat Tidak Setuju,Netral,1
65,Buku Non-Fiksi,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Setuju,Setuju,Netral,2
66,Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Literasi,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Setuju,3
67,Edukasi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
68,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,0
69,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Alat Seni,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
70,Komik,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Setuju,1
