Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Travelling, Menulis (diari, blog, atau lainnya), Belanja online/offline","Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Komik,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Belanja online/offline","Alat Tulis kantor atau sekolah, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Melukis atau menggambar","Alat Olahraga, Mainan"
"Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Aktivitas Rekreasional,Self Wear
Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Travelling","Mainan, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Belanja online/offline, Travelling","Mainan, Kesehatan dan Kecantikan, Alat Olahraga"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Travelling, Menulis (diari, blog, atau lainnya)",edukasi
