Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"Buku Anak;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Komik/Novel Grafis,Website Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Olahraga;Travelling,Mainan,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,4
Alat Olahraga,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Bermain game (offline/online);Melukis atau menggambar;Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan;Mainan",Setuju,Setuju,Netral,Setuju,1
Mainan/Collectible item,Aplikasi Gramedia.com,Kado atau hadiah;Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,5
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner);Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,1
Alat Olahraga;Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online);Menghadiri acara budaya atau edukasi;Travelling,Alat Olahraga;Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Netral,Setuju,0
Jurnal/Perencana (Planner),Toko Gramedia,Untuk mengekspresikan kreativitas,Travelling,Alat Olahraga,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Jurnal/Perencana (Planner);Komik/Novel Grafis;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Melukis atau menggambar;Menghadiri acara budaya atau edukasi;Olahraga,Mainan,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
Alat Musik;Jurnal/Perencana (Planner);Mainan/Collectible item,Toko Gramedia,Kado atau hadiah,Belanja online/offline;Bermain game (offline/online);Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,1
Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Kado atau hadiah;Menambah pengetahuan,Melukis atau menggambar;Olahraga,Alat Olahraga,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,3
"Buku Anak;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah;Olahraga,Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,4
Alat Musik;Buku Anak;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya);Olahraga","Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,2
Komik/Novel Grafis,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Olahraga,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,0
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Bermain musik;Melukis atau menggambar,Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Mainan,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,3
